Date,Bills2,Central bank liquidity swaps8,Federal agency debt securities2,Float,Foreign currency denominated assets10,Foreign official,Gold stock,Inflation compensation3,Loans,Money Market Mutual Fund Liquidity Facility,Mortgage-backed securities4,Net portfolio holdings of Commercial Paper Funding Facility II LLC7,Net portfolio holdings of Corporate Credit Facilities LLC7,Net portfolio holdings of Corporate Credit Facility LLC7,Net portfolio holdings of MS Facilities LLC (Main Street Lending Program)7,Net portfolio holdings of Maiden Lane LLC7,Net portfolio holdings of Municipal Liquidity Facility LLC7,Net portfolio holdings of TALF II LLC7,"Notes and bonds, inflation-indexed2","Notes and bonds, nominal2",Other Federal Reserve assets9,Other credit extensions,Others,Paycheck Protection Program Liquidity Facility,Primary Dealer Credit Facility,Primary credit,Repurchase agreements6,Reserve Bank credit,Seasonal credit,Secondary credit,Securities held outright1,Special drawing rights certificate account,Total factors supplying reserve funds,Treasury currency outstanding11,U.S. Treasury securities,Unamortized discounts on securities held outright5,Unamortized premiums on securities held outright5
2019-07-25,2,11,2347,-499,20752,0,11041,23689,129,0,1521542,0,0,0,0,0,0,0,115989,1954371,29589,0,0,0,0,2,0,3764159,127,0,3617939,5200,3851157,50006,2094051,-12777,129767
2019-06-06,50,17,2347,-448,20855,0,11041,22948,45,0,1555405,0,0,0,0,0,0,0,116516,1970270,21804,0,0,0,0,1,0,3808318,44,0,3667537,5200,3895406,49991,2109785,-12994,132357
2019-06-13,50,22,2347,-278,20911,0,11041,23120,53,0,1555405,0,0,0,0,0,0,0,116516,1970270,24090,0,0,0,0,5,0,3810819,48,0,3667709,5200,3897952,49981,2109957,-12966,132190
2019-06-20,5,17,2347,-112,20811,0,11041,23293,154,0,1548796,0,0,0,0,0,0,0,116516,1970270,25003,0,0,0,0,95,0,3805133,58,0,3661227,5200,3892180,49995,2110084,-12936,131780
2019-06-27,5,18,2347,-271,21060,0,11041,23465,184,0,1532726,0,0,0,0,0,0,0,116516,1970270,24115,0,0,0,0,102,0,3787496,82,0,3645329,5200,3874807,50009,2110256,-12905,131026
2019-05-02,100,55,2347,-476,20643,0,11041,22067,34,0,1575433,0,0,0,0,0,0,0,115361,1986425,28186,0,0,0,0,0,0,3850595,34,0,3701734,5200,3937421,49942,2123954,-12971,134032
2019-05-09,100,55,2347,-131,20667,0,11041,22242,66,0,1575433,0,0,0,0,0,0,0,115361,1986425,30517,0,0,0,0,30,65,3853394,36,0,3701909,5200,3940238,49935,2124129,-12943,133856
2019-05-16,100,50,2347,-213,20711,0,11041,22417,64,0,1569584,0,0,0,0,0,0,0,115361,1976565,19110,0,0,0,0,22,0,3825790,42,0,3686375,5200,3912691,49949,2114444,-13064,133469
2019-05-23,50,17,2347,-169,20600,0,11041,22592,50,0,1564428,0,0,0,0,0,0,0,115361,1976565,20415,0,0,0,0,1,0,3821658,48,0,3681344,5200,3908463,49963,2114569,-13034,133034
2019-05-30,50,17,2347,-526,20660,0,11041,22767,53,0,1555405,0,0,0,0,0,0,0,115361,1976565,20653,0,0,0,0,11,0,3812240,43,0,3672496,5200,3899119,49977,2114744,-13004,132550
2019-04-04,0,1365,2347,-490,20606,0,11041,21523,11,0,1592723,0,0,0,0,0,0,0,115154,2016632,24771,0,0,0,0,3,0,3896410,8,0,3748378,5200,3983167,49909,2153308,-13093,135468
2019-04-11,0,55,2347,-187,20675,0,11041,21658,21,0,1592912,0,0,0,0,0,0,0,115154,2016632,27114,0,0,0,0,10,0,3897923,11,0,3748702,5200,3984738,49900,2153443,-13065,135283
2019-04-18,0,55,2347,-251,20626,0,11041,21792,19,0,1587938,0,0,0,0,0,0,0,115144,2016474,27559,0,0,0,0,5,0,3892955,15,0,3743694,5200,3979736,49914,2153409,-13034,134913
2019-04-25,0,55,2347,-212,20527,0,11041,21926,32,0,1583393,0,0,0,0,0,0,0,115144,2016474,28906,0,0,0,0,14,0,3889560,18,0,3739284,5200,3976256,49928,2153544,-12998,134493
2019-03-07,0,65,2409,-594,20679,0,11041,21255,6,0,1607609,0,0,0,0,0,0,0,115154,2039011,21232,0,0,0,0,0,0,3929790,6,0,3785438,5200,4016598,49888,2175420,-13213,136856
2019-03-14,0,67,2409,-172,20701,0,11041,21314,11,0,1607767,0,0,0,0,0,0,0,115154,2039011,23607,0,0,0,0,0,0,3932640,10,0,3785655,5200,4019449,49867,2175479,-13184,136656
2019-03-21,0,68,2409,-179,20733,0,11041,21373,11,0,1599472,0,0,0,0,0,0,0,115154,2039011,23497,0,0,0,0,5,0,3923800,6,0,3777418,5200,4010655,49881,2175537,-13153,136138
2019-03-28,0,66,2347,-352,20700,0,11041,21431,27,0,1592723,0,0,0,0,0,0,0,115154,2039011,23553,0,0,0,0,21,0,3916543,6,0,3770666,5200,4003378,49895,2175596,-13122,135705
2019-02-07,0,66,2409,-192,20894,0,11041,21548,16,0,1621809,0,0,0,0,0,0,0,114769,2069396,32308,0,0,0,0,2,0,3987152,14,0,3829930,5200,4074157,49871,2205713,-13258,138281
2019-02-14,0,71,2409,-145,20708,0,11041,21439,18,0,1621956,0,0,0,0,0,0,0,114769,2069396,34723,0,0,0,0,3,0,3989473,15,0,3829969,5200,4076268,49846,2205604,-13226,138063
2019-02-21,0,68,2409,-190,20807,0,11041,21330,23,0,1614150,0,0,0,0,0,0,0,114769,2046102,19360,0,0,0,0,9,0,3942314,14,0,3798759,5200,4029222,49860,2182201,-13250,137544
2019-02-28,0,88,2409,-897,20792,0,11041,21221,12,0,1607609,0,0,0,0,0,0,0,114769,2046102,19637,0,0,0,0,3,0,3934831,9,0,3792109,5200,4021738,49874,2182092,-13218,137099
2019-01-03,0,4207,2409,-140,20999,0,11041,22386,6,0,1637123,0,0,0,0,0,0,0,116545,2083586,26359,0,0,0,0,5,0,4019072,1,0,3862049,5200,4106185,49873,2222517,-13418,140008
2019-01-10,0,86,2409,-182,21159,0,11041,22281,7,0,1637123,0,0,0,0,0,0,0,116545,2083586,28794,0,0,0,0,7,0,4017051,0,0,3861944,5200,4104339,49887,2222412,-13387,139789
2019-01-17,0,88,2409,-108,20997,0,11041,21863,15,0,1632729,0,0,0,0,0,0,0,114769,2083586,29318,0,0,0,0,12,0,4010725,3,0,3855356,5200,4097864,49901,2220219,-13354,139410
2019-01-24,0,86,2409,-225,20930,0,11041,21760,19,0,1628895,0,0,0,0,0,0,0,114769,2083586,30700,0,0,0,0,13,0,4007673,6,0,3851419,5200,4094733,49889,2220115,-13322,138996
2019-01-31,0,77,2409,-1091,20951,0,11041,21656,34,0,1621809,0,0,0,0,0,0,0,114769,2083586,31007,0,0,0,0,27,0,3999505,7,0,3844229,5200,4086600,49903,2220012,-13289,138538
