Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2016-03-10,266695,85569,174349,128414,169510,63293,33974,2497891,127528,280174,61304,4481083,592382
2016-03-17,265565,94633,170400,129435,171735,62488,33805,2482364,128154,287790,60604,4486333,599361
2016-03-24,267094,87647,174127,127396,172674,61795,33541,2497825,125886,286273,59507,4492857,599092
2016-03-31,266663,80848,180840,131009,170664,61099,35526,2489817,125275,288460,59120,4482840,593519
2016-02-04,257062,96515,167467,122065,161635,61193,32196,2570764,124256,257003,59173,4483495,574166
2016-02-11,263229,87306,168010,125607,161140,63190,33167,2553711,125688,257867,61249,4486278,586115
2016-02-18,265958,86539,170470,121985,164503,63157,33163,2531804,126389,258502,60750,4483629,600409
2016-02-25,263406,81122,174136,121787,163163,62622,33448,2559880,127069,252169,60613,4489796,590382
2016-01-07,257679,94340,177276,130621,160537,63045,33156,2568899,120877,261365,58883,4486606,559928
2016-01-14,253275,86069,172434,126933,158798,61003,33173,2611173,118821,264220,57544,4501695,558252
2016-01-21,251048,92790,170976,117140,155980,60626,31892,2629263,120310,258282,57670,4488840,542863
2016-01-28,251430,88508,169273,117812,153553,61139,32227,2620687,121515,254698,57811,4482349,553696
2015-12-03,259524,106454,183528,131831,162598,62748,33540,2511996,118541,278839,59193,4478069,569278
2015-12-10,259712,106686,190094,135812,161567,62818,33695,2484218,117494,292782,59623,4480436,575936
2015-12-17,258267,105161,185677,132959,165129,62757,33653,2506242,117301,281474,59077,4489593,581895
2015-12-24,260567,104988,189889,136090,163361,62749,34369,2538221,118602,266805,59192,4496523,561690
2015-12-31,262633,95295,183183,134933,161393,61836,34717,2544560,120621,272315,59176,4486587,555925
2015-11-05,257796,104083,190456,138091,161868,64893,33832,2489447,119880,305692,60575,4489702,563090
2015-11-12,256328,95102,190234,136300,162193,62972,34147,2499678,118790,297423,60550,4492012,578295
2015-11-19,256034,105345,193971,130916,162860,61895,34130,2521261,119331,287097,59536,4486721,554347
2015-11-27,257158,99312,190118,134424,159749,62226,34207,2522201,119539,287230,59354,4477088,551570
2015-10-01,266631,115440,215038,150746,162954,62953,34736,2441320,127925,301675,61563,4484111,543130
2015-10-08,249825,96915,189319,137031,153336,62651,32092,2565679,117954,291723,58567,4486185,531092
2015-10-15,249607,98604,191239,142690,152341,61814,32444,2571103,114970,292343,58499,4504704,539049
2015-10-22,250912,100463,190898,131124,154206,61447,32298,2580798,118177,290414,58994,4501372,531640
2015-10-29,254566,106423,186408,132490,155489,61005,32969,2543773,118072,293308,59364,4489339,545471
2015-09-03,246340,98681,179884,139664,154651,61458,32646,2562482,122378,290298,57560,4475886,529844
2015-09-10,247702,100103,178968,144953,153816,62461,32555,2555327,121436,295992,58496,4478213,526404
2015-09-17,244111,91309,175351,133040,153514,60967,32010,2618622,120484,288816,57934,4487809,511651
2015-09-24,245407,98084,183838,131533,150153,61115,31704,2645621,119672,275481,57702,4497484,497175
2015-08-06,243874,126303,174384,140228,153732,62181,32121,2571631,126374,285934,55475,4486329,514091
2015-08-13,242857,121882,173695,136059,151013,61123,32004,2582950,124016,286962,55298,4489250,521389
2015-08-20,242054,122975,175406,130883,151056,61100,31756,2569030,126024,292539,55798,4487208,528588
2015-08-27,241741,125522,178868,139736,149111,61563,31959,2561863,125873,281723,56409,4475105,520737
2015-07-02,249906,138935,181526,144880,157767,63415,32715,2544732,127324,272222,53776,4479130,511930
2015-07-09,247388,128249,171430,144252,154853,63623,32054,2571726,126624,272862,55263,4481289,512964
2015-07-16,243095,131164,175544,142414,153624,62318,31873,2584118,126947,274613,55024,4493605,512870
2015-07-23,240469,123031,174871,133048,151038,60978,32169,2638649,126185,270283,54684,4500503,495098
2015-07-30,239850,128400,169963,134116,148669,60346,31887,2623459,124318,272942,54714,4485480,496816
2015-06-04,244779,130372,172621,135924,158225,63327,32397,2557259,116801,265101,51190,4465360,537363
2015-06-11,241801,124449,170718,137118,155357,61842,31648,2577374,115706,263302,51484,4468005,537206
2015-06-18,241837,121229,176332,133279,155305,61488,31481,2627886,123302,255907,51381,4487817,508389
2015-06-25,238639,127857,177242,132424,149735,60257,31285,2656708,123993,255789,51881,4495055,489244
2015-05-07,243046,127757,168202,124472,154028,63050,32251,2604508,117102,245983,50783,4472703,541520
2015-05-14,244327,121840,172363,128040,155212,63284,32237,2616309,117758,248752,50827,4501188,550238
2015-05-21,243603,125497,175111,123989,153169,63300,32132,2603250,118837,254681,50928,4480384,535887
2015-05-28,242437,133475,177564,129034,153991,61980,32277,2571344,117415,257934,50613,4463981,535916
2015-04-02,259532,128967,180904,140330,167781,69679,35560,2458092,124326,277605,56146,4481799,582879
2015-04-09,255047,124879,181214,144237,163299,68689,35033,2471363,121249,281048,56249,4483419,581112
2015-04-16,252278,127850,176661,140915,164043,67189,34485,2491897,118790,283256,54799,4485366,573202
2015-04-23,245398,125583,175129,124637,156949,65497,33304,2608324,115015,254457,51969,4489695,533433
2015-04-30,239399,130741,168371,122862,149727,62748,32525,2638639,114249,252798,50536,4471499,508903
2015-03-05,257209,119058,177326,137028,164749,68965,34958,2497145,129136,279126,56267,4487583,566617
2015-03-12,256228,116902,178196,135816,164418,69264,34465,2515194,121659,269674,55780,4489279,571683
2015-03-19,254944,113425,173624,128551,164166,69050,34267,2562973,125114,264430,54917,4495888,550427
2015-03-26,254225,117695,175100,126171,161870,68005,34733,2555424,123491,256749,55137,4480603,552003
2015-02-05,248135,120621,178450,123379,157161,66111,33415,2590814,111226,265862,53211,4500348,551962
2015-02-12,250354,114502,174569,122388,156236,68046,33793,2580710,121704,267749,54097,4501685,557537
2015-02-19,252802,118165,184897,122111,160367,68189,34479,2561705,122725,264817,54811,4496851,551784
2015-02-26,255927,118685,180575,127642,160200,69337,35166,2517211,145366,265110,55459,4486725,556045
2015-01-02,263774,141096,183488,138253,161094,63576,31688,2561062,105142,252603,51328,4497660,544556
2015-01-08,248522,112078,170897,123427,150550,61706,30481,2667383,100975,255170,49695,4499524,528640
2015-01-15,242792,111996,169030,121939,150298,61954,31236,2691141,101387,247653,49809,4516077,536843
2015-01-22,242770,116422,170529,113639,150224,64070,30928,2698876,102224,242556,49751,4512936,530947
2015-01-29,245125,117499,172088,116811,149641,62159,31342,2665499,105922,253331,51082,4500064,529567
2014-12-04,257496,108369,174481,121300,156636,60099,29620,2623069,109657,244815,50134,4486190,550514
2014-12-11,253922,109744,171542,122057,153097,59163,29542,2628822,110965,245937,49338,4488865,554737
2014-12-18,250015,117132,172675,119397,150774,58857,29953,2673008,98000,240839,48768,4502247,542828
2014-12-29,250327,118021,178427,127080,152752,60138,30605,2670863,99517,246818,49245,4509462,525668
2014-11-06,252691,118989,169877,112621,145846,57850,28034,2683861,107846,241814,47699,4486585,519457
2014-11-13,251854,113344,165040,114152,145590,57702,28134,2688617,108047,250283,47854,4488895,518278
2014-11-20,250771,113379,175164,111684,149568,57435,28428,2677530,108980,236032,48409,4492759,535378
2014-11-28,253576,117770,177224,120719,152273,58695,29361,2629027,108464,253521,49470,4485931,535831
2014-10-02,257911,121354,172818,107979,143892,57718,26163,2657928,105931,237880,45233,4450260,515454
2014-10-09,256969,112008,173199,107879,139807,57206,25857,2672027,105455,242187,45501,4455403,517307
2014-10-16,253046,115099,168413,107010,143123,57182,25525,2672533,105249,259087,45619,4474360,522474
2014-10-23,249573,109855,166327,103904,140055,56472,26158,2729270,107900,240162,45944,4481616,505996
2014-10-30,248071,116811,170803,107140,140860,56280,27390,2722831,105688,239381,46244,4486754,505256
2014-09-04,254303,113839,167616,103969,139145,58987,25383,2627876,107645,258099,44243,4415587,514481
2014-09-11,253799,100833,170787,107543,137969,58623,25434,2642468,110114,251460,43900,4421408,518478
2014-09-18,252616,106911,166624,101366,137459,56290,24511,2708700,110874,231682,43741,4449588,508810
2014-09-25,249047,107830,166963,100422,138232,56266,24673,2751891,111025,211584,43960,4459050,497157
2014-08-07,252749,115000,156179,98748,130263,56501,24068,2696182,118116,222199,43122,4410111,496983
2014-08-14,252881,108662,154802,103604,130335,55970,23978,2702135,119360,229642,42698,4431923,507856
2014-08-21,253072,109753,161072,98596,135179,55859,24296,2693319,116856,227777,43091,4412924,494055
2014-08-28,252638,108109,160262,99764,136810,57342,25133,2680799,128752,217555,43258,4413736,503313
2014-07-03,252607,120217,155057,98268,130522,53489,24003,2674594,105029,237116,42916,4377031,483213
2014-07-10,252966,117540,158905,101291,129901,54477,23808,2652642,114695,238499,43586,4383401,495089
2014-07-17,249531,117581,159957,99707,129218,53463,23184,2685244,112899,230786,43088,4398201,493545
2014-07-24,249997,116081,162204,92380,130410,53743,23318,2723778,112969,219842,42545,4410746,483479
2014-07-31,248970,119835,159063,94722,125669,52858,24121,2721197,111522,222792,42267,4406637,483622
2014-06-05,255781,106262,155287,93131,135151,54107,24392,2620877,110025,246341,45138,4330917,484424
2014-06-12,252462,102742,151916,94159,131659,53312,23775,2636725,108183,251157,44176,4340904,490636
2014-06-19,246332,108929,151190,87651,126645,51122,23210,2734140,104730,231658,42191,4368168,460369
2014-06-26,248734,115252,146845,90599,127494,52053,23525,2715502,101742,238010,42634,4368348,465959
2014-05-01,251935,105245,154399,89995,132138,51715,24409,2629354,108332,242589,44548,4296049,461391
2014-05-08,252512,104655,155726,91445,131840,53064,24449,2633041,110787,239336,44725,4303143,461562
2014-05-15,252407,100506,151475,91465,132927,52632,23823,2665388,108401,240280,44001,4336649,473344
2014-05-22,252999,107738,156427,87237,132557,53072,23449,2658614,110811,231327,44406,4327560,468925
2014-05-29,253426,106560,158022,91066,132129,53855,24014,2652846,109319,233843,43620,4322654,463955
2014-04-03,235100,92195,154595,90207,140975,53962,25458,2570234,118603,240442,47414,4236441,467257
2014-04-10,241361,91553,157848,92684,135435,53643,24842,2563447,115081,249977,46739,4244188,471579
2014-04-17,243539,97681,158657,88027,135272,53176,24130,2626817,111391,238963,45481,4283967,460831
2014-04-24,245757,95634,156143,83503,132827,52616,23652,2680163,109091,228955,44481,4296339,443516
2014-03-06,217362,94150,148752,90117,129630,53348,24412,2550101,120244,230290,48300,4171762,465055
2014-03-13,216580,86454,154954,90495,130368,52411,24030,2556065,119079,233728,48394,4181361,468803
2014-03-20,216104,87567,152121,86843,136110,52199,24086,2609322,119429,235759,47426,4222081,455115
2014-03-27,224561,86100,154158,90438,138791,52814,24906,2592090,117478,244743,46846,4226971,454046
2014-02-06,209732,80572,151347,85719,119199,50643,22053,2571982,104576,221248,45363,4109285,446852
2014-02-13,213234,80334,148623,87454,121458,55504,23394,2553124,106542,235298,47227,4119474,447280
2014-02-20,214004,80570,149022,84343,121398,53716,22766,2580028,110314,237299,47120,4149224,448644
2014-02-27,219106,89096,154145,87733,124716,53225,24752,2572751,115679,226224,48574,4159972,443972
2014-01-02,224081,113393,161263,109247,124653,53887,23834,2385454,98874,223170,45768,4023640,460016
2014-01-09,211199,74066,152058,88999,116359,49817,22532,2509278,97077,219600,45485,4028185,441713
2014-01-16,206775,80435,154507,89485,116987,50410,22020,2555203,96623,212570,44945,4071528,441568
2014-01-23,205273,82628,153206,85535,115573,48948,21763,2590740,101057,217754,44663,4097914,430773
2014-01-30,204649,79218,148048,84087,114824,48595,21500,2607523,100529,216356,44035,4102138,432774
2013-12-05,211857,67157,157973,96544,120817,48023,22204,2385852,98954,226455,44912,3932627,451879
2013-12-12,214224,76265,153280,96946,118217,49266,22372,2433329,98036,228998,45217,3993955,457805
2013-12-19,209191,76608,153342,88252,117227,47028,21823,2501909,94128,214824,43535,4008062,440193
2013-12-26,211331,87378,155594,97005,118218,49140,22313,2490716,93412,223224,43552,4032575,440692
2013-11-07,205452,70800,146551,85406,116183,47187,22338,2375911,96863,205881,45715,3851623,433335
2013-11-14,206876,70494,149993,91569,114385,47006,22141,2399562,95851,219411,45352,3907424,444782
2013-11-21,203168,71851,153325,83282,114922,46808,21813,2428362,97474,209698,45257,3906620,430660
2013-11-29,209134,70863,157438,94506,115002,48485,22319,2405333,98105,212862,44501,3925876,447329
2013-10-03,197707,77286,147124,82657,114431,45894,20529,2320544,83313,207948,43681,3747387,406273
2013-10-10,200922,74715,148190,81692,112449,46536,20872,2311174,82323,219665,44394,3758663,415730
2013-10-17,207511,89620,153384,87792,112737,47017,20981,2316672,82226,222509,44715,3813599,428434
2013-10-24,201045,74703,155505,82905,113871,45860,21088,2394145,82968,207065,44396,3839033,415483
2013-10-31,201546,77639,143914,82127,113466,46363,21619,2405937,79346,213717,44963,3843396,412758
2013-09-05,204689,69892,144655,79463,110726,46601,20824,2240174,81747,224519,44933,3654182,385959
2013-09-12,201675,67482,141805,83121,109059,45830,20896,2258638,80737,223568,44586,3662035,384637
2013-09-19,198203,72426,141677,78161,109323,45681,20571,2341175,78728,218193,43292,3722192,374763
2013-09-26,197744,74578,143724,78784,110206,45670,20447,2353879,79702,209318,43231,3734018,376734
2013-08-01,193743,66423,139169,73792,101088,45408,20077,2252518,72020,209934,42579,3571797,355048
2013-08-08,196538,66386,144259,76481,104098,46429,20088,2233441,74649,214592,43896,3585359,364501
2013-08-15,196824,63752,144996,79472,102436,45462,20225,2260602,79851,221989,43812,3646323,386902
2013-08-22,194173,69930,144039,72926,106557,45250,20240,2292278,81265,207518,43298,3645668,368195
2013-08-29,198735,67048,142139,73663,108042,45756,20369,2289483,79064,211532,43192,3644456,365435
2013-07-05,198851,72725,143563,73277,99802,45720,20367,2172362,78337,190313,44670,3492742,352756
2013-07-11,197459,64724,145550,71135,98138,45479,19925,2186289,75810,199099,43839,3504095,356650
2013-07-18,197217,65558,148254,71959,100344,45802,19965,2218018,75081,193054,43463,3537861,359145
2013-07-25,192473,66157,143012,70824,101189,45192,19964,2280061,75257,184967,42404,3574574,353076
2013-06-06,198515,69247,147625,73952,99772,47202,21746,2051221,84628,206558,46142,3400183,353574
2013-06-13,199935,66986,145241,72871,99911,46345,21133,2074986,83375,213856,44935,3410842,341269
2013-06-20,195785,65903,139063,71020,96761,43703,19928,2199958,77864,190774,43243,3470530,326526
2013-06-27,195591,69515,141712,72218,95076,44345,19814,2199243,74918,183247,42798,3478672,340196
2013-05-02,198474,69788,156191,74751,104673,47330,23597,2007863,80520,192616,47046,3317194,314346
2013-05-09,198546,61455,152295,75340,97769,47029,23259,2015193,83918,198412,47183,3324615,324216
2013-05-16,199326,64479,151548,76424,99284,47108,22972,2019625,84605,202699,46940,3354269,339259
2013-05-23,195750,62472,150960,77564,100456,45904,22088,2093027,84188,190452,45648,3398713,330204
2013-05-30,194350,74964,149689,74401,100423,45489,21842,2061272,81426,206577,44809,3385128,329886
2013-04-04,206104,74153,159354,80405,110924,54101,27540,1809936,90373,190312,50132,3217072,363737
2013-04-11,207997,70953,156507,79598,107476,53355,27523,1830589,87445,201164,50037,3229413,356769
2013-04-18,207025,69229,154249,76249,105323,50744,26084,1919142,85625,192218,49084,3295109,360137
2013-04-25,196930,64220,154874,77392,100724,47533,24311,2024453,82224,175785,46285,3318649,323920
2013-03-07,209613,78770,161821,79319,112213,55105,29346,1722911,96906,176043,50064,3110443,338331
2013-03-14,205984,73692,153665,83425,109765,54388,28586,1774840,95753,171808,49965,3167073,365203
2013-03-21,204771,68683,155866,78124,111563,53540,28150,1859386,93066,168138,48879,3208553,338386
2013-03-28,203408,76596,163006,76856,109386,53450,27471,1828438,89596,186525,48891,3203926,340304
2013-02-07,204301,75953,149943,75217,109822,53684,29967,1703261,85845,169923,47455,3016651,311278
2013-02-14,207038,76296,152286,76480,108872,54938,30438,1719073,88024,178868,48459,3075901,335129
2013-02-21,206314,81011,155559,76244,110218,54992,29062,1750417,90180,165657,48490,3096802,328658
2013-02-28,207828,75570,159834,78045,110526,54761,29500,1731213,93939,172907,49906,3092268,328238
2013-01-03,209420,85821,150244,74445,117778,54783,29500,1553981,83676,180628,47019,2918753,331459
2013-01-10,208921,85810,152016,72521,115914,53958,30429,1577619,88730,166993,47057,2930325,330356
2013-01-17,206044,81930,151354,72622,114555,53643,29932,1622091,86165,168609,47052,2965412,331416
2013-01-24,201268,75938,146764,71050,112362,52341,29104,1728913,84493,157764,45847,3013333,307489
2013-01-31,198560,79458,151175,70090,107673,49957,29161,1725666,83198,163486,44759,3010370,307187
2012-12-06,215778,79819,155301,75299,115913,54513,29937,1480006,84176,189827,47293,2861340,333479
2012-12-13,217904,82681,161091,74162,114250,54289,30165,1520476,83451,191590,47937,2918788,340791
2012-12-20,213381,88789,156686,74870,116467,51956,29909,1554261,84448,177157,46536,2921776,327315
2012-12-27,213304,89588,155784,77933,118985,54022,29811,1527212,78406,188087,45709,2908859,330019
2012-11-01,206908,82065,134529,74834,111865,53299,29393,1531114,82616,170095,45673,2824750,302360
2012-11-08,208913,70609,151722,73699,112721,53620,29696,1525583,80492,184459,46462,2832409,294433
2012-11-15,208711,74789,150564,81519,111992,54186,29850,1538527,79032,183788,46676,2878843,319208
2012-11-23,207138,73135,154216,74834,115151,52906,29497,1540579,83567,178183,46838,2872736,316692
2012-11-29,209136,75915,154208,73331,113324,52061,29302,1520241,81341,180639,46399,2852897,317002
2012-10-04,202721,72446,156037,76220,111341,54872,28159,1516628,81924,164908,46434,2810305,298615
2012-10-11,202201,69817,147645,76304,108689,54421,28652,1523807,79811,175836,46378,2813535,299973
2012-10-18,206094,72278,153545,78066,111808,54747,28769,1520582,81487,177039,46629,2848699,317654
2012-10-25,200113,75430,143646,74242,111019,52773,28557,1568240,82422,169515,45290,2842703,291456
2012-09-06,199837,71307,154638,77801,107211,55467,27231,1516566,83245,190800,47485,2824103,292514
2012-09-13,197971,70409,151755,73978,105720,54725,27362,1530682,82220,196183,47009,2825271,287255
2012-09-20,195348,75472,157182,72189,106199,53627,26758,1563846,83019,172177,45310,2823411,272283
2012-09-27,200049,70890,155417,74493,106470,53230,27191,1543812,82033,166682,45166,2806297,280863
2012-08-02,196502,79222,156922,74970,111210,56330,27389,1560014,79470,198239,47452,2853163,265443
2012-08-09,197431,76672,157466,74014,107715,56577,27483,1560211,84400,199625,47258,2858211,269360
2012-08-16,198883,76719,157129,76335,107130,56506,27365,1534192,83137,186343,47583,2835305,283984
2012-08-23,195376,73871,151803,76993,106054,54243,26857,1560255,79549,171179,46464,2827640,284997
2012-08-30,196024,74449,148812,73288,105410,54768,26877,1550798,78726,178148,46145,2814833,281388
2012-07-05,186206,77461,155763,77781,114443,56652,27223,1576992,79323,211779,48294,2868088,256172
2012-07-12,185259,74074,159084,77287,109208,56108,27000,1584752,78942,213817,47625,2868439,255282
2012-07-19,187789,78006,157410,73145,108260,54681,26960,1604273,79149,191551,46712,2857938,250003
2012-07-26,189738,78413,158633,73856,109800,56308,27203,1579970,78174,195426,46564,2848848,254763
2012-06-07,178842,78766,153921,75628,111232,57297,26997,1547762,80816,232264,47280,2854351,263545
2012-06-14,181901,73227,158026,79558,110030,56247,26590,1536532,81317,238939,47049,2871388,281972
2012-06-21,178210,77986,157100,73585,110132,54967,26411,1610419,79276,205488,46657,2873114,252884
2012-06-28,181632,70901,157520,72819,109435,54500,26515,1605401,78344,204828,46289,2865757,257573
2012-05-03,174892,73112,157910,75419,112563,56869,27156,1621124,82372,200504,46357,2866703,238425
2012-05-10,174278,69357,155659,76279,110642,57936,27291,1620774,81688,203713,46240,2866546,242690
2012-05-17,175177,75102,158212,75487,111894,56774,26793,1582149,81120,203284,46213,2853397,261191
2012-05-24,174589,67799,155691,74745,110250,57232,26702,1604512,83380,207323,45918,2861886,253746
2012-05-31,173457,78603,155377,73709,110241,56380,26730,1584523,79427,214072,44796,2845063,247747
2012-04-05,176910,69871,162430,74981,114797,61730,29523,1505715,110370,242077,47920,2867891,271566
2012-04-12,175787,70574,164795,77031,113962,61217,29362,1527295,109346,227331,47361,2869586,265525
2012-04-19,170032,67108,158154,73798,112604,58651,27729,1607891,107921,200668,46424,2877974,246993
2012-04-26,172860,73326,155868,75795,111359,57176,27567,1602193,107588,201619,46488,2869002,237163
2012-03-01,177801,71678,162344,76217,109233,58208,29045,1630223,97148,210971,48663,2928107,256578
2012-03-08,179210,65387,157189,77664,114360,58235,30119,1565053,100736,225791,48508,2887123,264870
2012-03-15,180441,68877,154595,82842,113847,59031,29416,1550792,106634,214479,47881,2896159,287326
2012-03-22,173939,67414,156875,78022,113806,59004,29347,1591354,111675,207272,46407,2895061,259947
2012-03-29,177224,72028,156317,76018,113382,59747,29351,1569624,111098,215687,45866,2880526,254184
2012-02-02,171417,72637,150576,69958,109769,56862,27174,1706469,77725,206720,46984,2927344,231053
2012-02-09,174735,65905,156008,74161,109623,60655,27470,1667971,82158,225819,49216,2930661,236939
2012-02-16,175292,67644,161408,79657,109638,59127,27171,1650968,81827,226992,49548,2940346,251076
2012-02-23,174435,71067,165856,76752,110149,58540,27557,1654518,90003,203604,48745,2935290,254063
2012-01-05,167631,76365,150769,73814,110834,56288,27179,1678304,79424,226868,45387,2920225,227362
2012-01-12,166568,65786,151462,71010,108882,55496,27358,1679598,78771,220019,45885,2901589,230752
2012-01-19,164658,65185,155163,71265,107453,56020,26905,1705888,78875,200080,44746,2921946,245706
2012-01-26,166419,69418,153062,70609,105384,56069,26493,1723189,77198,194762,44856,2921991,234531
2011-12-01,170252,56932,155033,70689,110538,55016,27394,1592223,79297,207510,44225,2816851,247742
2011-12-08,171114,69469,149474,72129,112250,57714,27232,1556478,82097,232578,44662,2823291,248096
2011-12-15,166283,70096,148892,80672,111630,56022,27059,1622757,81093,243943,44298,2905040,252292
2011-12-22,165572,70604,147350,74046,111588,55475,26671,1698822,78702,211124,43890,2918609,234764
2011-12-29,165435,84591,150847,72385,111340,56300,26819,1684452,76219,228120,44108,2928585,227970
2011-11-03,178422,70545,144522,73288,116869,56940,27933,1580085,89302,191119,45627,2824798,250147
2011-11-10,177337,74662,150666,77211,112899,55423,27622,1592653,87409,186841,45470,2842516,254323
2011-11-17,176238,72764,157042,79833,114002,56611,27846,1560727,85958,201502,45507,2834291,256259
2011-11-25,172244,70604,144506,77755,112189,54952,27324,1596589,84383,192791,44532,2824620,246752
2011-10-06,174356,76633,152688,75547,111342,57806,26606,1615510,83714,190913,44828,2862954,253011
2011-10-13,172022,75499,145101,76426,112742,55866,26717,1635398,83117,191820,44335,2863907,244863
2011-10-20,170118,74164,144896,74417,113823,54113,27068,1654902,84738,178278,44123,2855303,234663
2011-10-27,171361,75428,151008,71055,113250,54740,26584,1640289,86048,171374,43958,2848468,243373
2011-09-01,175863,81083,158646,81529,109179,55393,25525,1572683,95514,204052,43704,2857506,254334
2011-09-08,177569,69993,156035,85937,109285,61027,25671,1556972,96475,213529,45959,2862273,263820
2011-09-15,175586,69742,151500,84256,109057,59098,25358,1559545,93742,221212,45142,2867086,272847
2011-09-22,171347,77964,150972,77375,106194,56858,26258,1638944,82535,176493,43978,2861310,252393
2011-09-29,171619,79638,154360,74948,110432,56565,26123,1610713,82818,192515,43724,2854339,250884
2011-08-04,175599,73734,155231,84654,111561,56128,24106,1563981,106633,217277,44620,2871189,257666
2011-08-11,176287,67355,159831,88596,109287,56271,24763,1574214,108912,208866,44725,2876356,257249
2011-08-18,177459,69003,155693,86027,108008,55669,24600,1553461,112076,206141,44133,2861813,269543
2011-08-25,175254,68436,156923,82349,110866,55180,24728,1586914,95413,201320,43521,2863264,262362
2011-07-07,167484,68945,167376,73478,101338,57862,23578,1603220,103067,229884,42385,2874242,235625
2011-07-14,166187,58385,167645,71162,100651,57007,22868,1626988,103387,225619,45378,2882143,236865
2011-07-21,164285,59013,156407,69134,105781,55116,22791,1646605,101656,212877,44508,2875345,237171
2011-07-28,168410,87135,147781,73414,112045,55323,23236,1595192,101225,227709,43893,2867646,232283
2011-06-02,167897,64503,155989,70883,100335,55689,24121,1570195,105203,219769,41187,2793047,217276
2011-06-09,166904,56332,157073,74004,98359,55416,24809,1582917,106617,223863,41745,2815437,227398
2011-06-16,167233,61917,153449,71934,101110,56821,24270,1587370,105206,232529,42191,2831700,227668
2011-06-23,165335,54777,155182,68949,98473,55943,23875,1652055,100784,224773,40775,2860521,219600
2011-06-30,164300,58435,158639,71757,99067,56795,23836,1620637,100225,240820,41339,2869325,233473
2011-05-05,167799,59277,156460,62309,98635,54111,25938,1565934,105818,173164,39638,2723052,213969
2011-05-12,165698,54303,166708,67541,97498,54533,25580,1580025,107773,173611,39313,2748773,216190
2011-05-19,165894,55409,157521,63155,97158,53710,25377,1579204,106525,193601,39036,2762252,225661
2011-05-26,165836,54075,156092,64245,98688,54303,23967,1590142,105999,206643,39788,2779243,219465
2011-04-07,171827,56743,155702,67844,99679,57232,29490,1422967,102364,202970,42303,2652911,243791
2011-04-14,171858,56871,165403,72020,100692,57728,28098,1421336,103656,202319,42992,2669683,246712
2011-04-21,166447,55057,160120,64726,98356,56427,26452,1510186,102319,178405,39689,2690052,231869
2011-04-28,165799,57652,158244,62493,96316,52005,25646,1553347,101416,167996,39027,2695292,215351
2011-03-03,172193,58112,145714,62747,97430,58819,30137,1290226,109600,247660,42357,2549227,234231
2011-03-10,173818,51104,147136,67399,97855,59933,31231,1298653,110254,264383,42480,2581236,236988
2011-03-17,174112,57456,146198,70554,97668,61040,31198,1332078,111494,220883,41924,2587214,242609
2011-03-24,172785,54011,147447,68935,97746,58175,31132,1346272,109328,247138,41229,2605509,231311
2011-03-31,169736,57746,148787,65779,97830,57521,30508,1368571,107300,249457,40752,2626682,232694
2011-02-03,163561,55490,133713,50927,93739,56048,25653,1369970,98946,175205,40953,2472757,208551
2011-02-10,166223,50944,143748,54147,95731,57897,27804,1334638,100983,222149,42114,2504066,207689
2011-02-17,168344,52848,139155,59010,95875,58825,28395,1317528,104919,208442,42004,2512807,237463
2011-02-24,166393,56778,142006,62184,95176,60135,29462,1304469,104971,237145,42087,2537314,236508
2011-01-06,169739,55411,137309,60616,91291,64566,24526,1276788,69300,243731,41890,2439070,203902
2011-01-13,167345,51359,141119,61772,91911,61956,24895,1314831,69915,238783,41297,2471258,206075
2011-01-20,163118,51237,136758,60398,90797,60566,24646,1318563,96039,172259,40536,2428477,213561
2011-01-27,161890,53370,140143,58414,92490,56229,24935,1351807,95433,167288,39753,2446870,205120
2010-12-02,169031,61317,131276,57660,92931,65666,25960,1178891,77303,230667,42607,2349783,216475
2010-12-09,168433,63177,134273,58908,93355,62813,24822,1205632,76432,244480,42866,2385177,209986
2010-12-16,174680,61081,134558,57293,91082,63697,24579,1212348,77725,223691,43276,2388640,224629
2010-12-23,169077,61096,131665,54636,92385,61235,24254,1271391,73511,233161,41679,2430904,216813
2010-12-30,168167,54949,135859,55867,91615,59978,24350,1275980,70474,243362,40902,2423562,202059
2010-11-04,167712,58317,130416,60502,92511,63379,28975,1124150,79386,234297,44176,2303485,219663
2010-11-12,169571,58732,134807,61245,93500,62190,27586,1129231,79757,217249,44616,2315849,237365
2010-11-18,169411,59578,132891,61572,92662,64763,27913,1119220,78885,228524,44153,2317809,238240
2010-11-26,166561,52914,135092,60637,92605,62834,27316,1185781,76494,220342,42355,2348885,225954
2010-10-07,163013,58264,126951,58364,88516,63008,27185,1123693,79652,259893,41975,2311314,220800
2010-10-14,164223,58794,132443,61909,88568,54680,28228,1107092,80158,258333,42095,2313136,236613
2010-10-21,162981,58022,127101,55921,88686,55953,27883,1147840,78836,236099,42661,2308420,226438
2010-10-28,163888,58557,131400,54419,89841,58858,28255,1136439,78252,237902,42755,2298518,217951
2010-09-02,160011,58309,125301,59756,88334,56514,39804,1125921,75998,262536,42306,2305450,210660
2010-09-09,160714,54683,131818,61393,90750,55980,41295,1121737,78096,261014,42665,2309208,209063
2010-09-16,161825,58950,124100,60601,87963,54955,41312,1106072,79796,257364,42436,2299441,224066
2010-09-23,156662,61825,123992,54633,86969,55514,41026,1142162,78009,249674,40893,2310501,219144
