Date,Atlanta,Boston,Chicago,Cleveland,Dallas,Kansas,Minneapolis,New York,Philadelphia,Richmond,St. Louis,Total,San Francisco
2019-10-17,312953,95383,226857,133115,198889,65538,38894,1978281,81387,246100,65193,3966471,523882
2019-10-24,308250,89908,232570,127896,195326,63594,38176,2003987,81542,254898,64503,3968700,508051
2019-10-31,306223,91797,233124,128809,195011,65902,40394,2055083,81041,254203,65342,4019823,502895
2019-09-05,306757,88272,227285,121105,196369,64740,40770,1789730,84853,259158,65133,3761508,517334
2019-09-12,309722,82979,224034,126230,197538,63981,40265,1810344,84407,252716,64868,3769673,512590
2019-09-19,307281,92889,219565,121996,196926,62592,38673,1903650,86452,255005,63296,3844695,496370
2019-09-26,303658,89112,225238,124856,192608,61240,37747,1935898,81396,247500,62125,3857715,496335
2019-08-01,295438,88507,219083,130029,188715,61534,38294,1852764,84300,245046,63255,3779102,512135
2019-08-08,294756,85440,224358,126457,192392,61965,37641,1855470,85883,238109,63724,3781543,515349
2019-08-15,298407,84220,220476,133164,193063,61564,38235,1846518,85141,247724,63662,3786018,513845
2019-08-22,296375,85251,221859,127676,191373,62102,37904,1836869,84930,251537,63341,3764866,505648
2019-08-29,300022,87957,223142,123929,191841,62360,39847,1820614,82770,249537,63201,3759946,514727
2019-07-05,295465,91377,217325,128678,195321,63411,38530,1833873,91107,242489,64851,3813198,550771
2019-07-11,294688,88702,217714,127060,192466,62720,37592,1842314,89114,256513,64363,3815038,541791
2019-07-18,292301,85519,222451,128146,192780,65355,37075,1855637,87594,240037,63667,3808110,537548
2019-07-25,289981,89648,213905,125645,187984,63363,37538,1892951,85835,239143,62398,3803436,515044
2019-06-06,290669,92418,217770,122099,190166,60400,37336,1928906,88312,235356,63403,3847645,520808
2019-06-13,291498,84944,217354,127926,188634,60426,37575,1929306,85934,243789,62563,3849955,520006
2019-06-20,288690,83315,210633,124485,187365,59919,36628,1949311,87421,239288,61878,3844016,515081
2019-06-27,289137,87830,216439,118793,187150,60716,37178,1918420,88407,243918,62301,3826817,516527
2019-05-02,290632,90187,205600,120044,194161,61644,37526,1973856,95890,251346,62257,3889691,506550
2019-05-09,289589,80693,208542,117924,189928,60501,36896,2011574,94768,240910,62173,3892216,498716
2019-05-16,290483,88335,203614,115581,188107,61262,36570,1969273,94930,247352,62315,3864749,506927
2019-05-23,288229,81268,208894,117241,188437,59677,36119,1994271,86865,236376,61969,3860435,501090
2019-05-30,285725,78665,219905,117030,185377,60912,36785,1961617,86325,256476,61678,3851444,500948
2019-04-04,293600,90105,214608,124756,197323,65171,38660,1956436,103721,249051,64611,3935509,537468
2019-04-11,291900,86494,216608,128662,194737,65516,38253,1951114,102621,250009,65244,3936784,545627
2019-04-18,290497,81650,205664,120298,193735,62696,37945,2027454,99315,243283,63477,3931827,505814
2019-04-25,287754,85026,203494,119793,189544,61081,37044,2060926,97268,238273,61282,3928273,486788
2019-03-07,287887,80921,211681,130051,191591,63281,38543,2022613,106243,236736,65152,3969134,534433
2019-03-14,288226,82866,215886,127668,191734,63743,38416,2003825,109083,247104,65181,3971559,537828
2019-03-21,286271,89581,212371,118650,189818,64603,37800,2008883,106502,257892,64247,3962748,526131
2019-03-28,287757,87093,219261,126343,191602,64000,37724,1999699,105118,250292,64219,3955617,522509
2019-02-07,279104,83680,210137,120373,178332,61861,36283,2170888,98977,233526,63150,4026350,490040
2019-02-14,278347,81597,208568,125428,182316,62005,36382,2152890,99449,240207,63296,4028431,497947
2019-02-21,278898,84029,211250,123355,182779,62708,36668,2102763,101596,234017,63521,3981420,499835
2019-02-28,285359,83527,215464,124800,186990,62513,40423,2038387,105736,252339,65463,3974590,513588
2019-01-03,288350,95371,226646,116978,181940,65755,37944,2112329,104232,245794,63646,4058378,519393
2019-01-10,284658,83699,217880,119619,178988,63583,37290,2127439,103757,262613,64120,4056563,512918
2019-01-17,280733,82319,213241,119091,177180,64540,36647,2156075,102483,252859,63081,4050044,501795
2019-01-24,278401,85645,211407,118239,172558,60723,36281,2188278,98950,249502,61717,4047052,485351
2019-01-31,275541,83282,216599,118767,171443,60406,37586,2210192,97478,229511,61613,4039678,477262
2018-12-06,284634,107224,230720,130612,181998,62961,37925,2110142,95839,258286,62374,4086044,523328
2018-12-13,280820,88187,219070,123167,176583,61536,38043,2198213,93810,240700,63080,4088314,505105
2018-12-20,285009,80527,222973,122873,176264,63480,37292,2175570,96951,249949,63341,4084274,510045
2018-12-27,285400,95635,229512,123256,176620,62623,37861,2164790,96858,238652,63221,4075636,501209
2018-11-01,284971,88188,223225,123649,183411,61737,37137,2269156,100359,221098,60194,4139731,486606
2018-11-08,283189,82277,223407,120463,183734,61395,36755,2246311,100784,249237,61002,4141936,493382
2018-11-15,282019,85903,220688,127318,181564,60948,37602,2246552,96871,235717,60554,4145892,510156
2018-11-23,282864,80048,227349,128440,185995,62217,37549,2189104,99455,249406,60717,4106198,503054
